"absence_id","student_id","absence_type","school_id","date"
"0","nuZOHwaa","family","bjh","2024-08-26"
"1","sWigONib","unknown","chs","2024-08-26"
"2","7cYzzjsn","tardy","dhs","2024-08-26"
"3","gAfallzt","unknown","chs","2024-08-26"
"4","fA2eedtF","family","chs","2024-08-26"
"5","Ca6ChHiO","tardy","chs","2024-08-26"
"6","A2BJwONO","tardy","chs","2024-08-26"
"7","qMqO4Wh1","tardy","dhs","2024-08-26"
"8","4r3qhX32","unknown","chs","2024-08-26"
"9","yDqL8lpq","tardy","ajh","2024-08-26"
"10","j6Y8anfn","unknown","chs","2024-08-26"
"11","i1TL8qcv","tardy","chs","2024-08-26"
"12","wGxWbU65","medical","chs","2024-08-26"
"13","Rl1GBunV","personal","chs","2024-08-26"
"14","HGFgGfis","tardy","chs","2024-08-26"
"15","uKfmZwd4","tardy","chs","2024-08-26"
"16","AlTc1lSM","unknown","ajh","2024-08-26"
"17","1qDJoqKa","tardy","bjh","2024-08-26"
"18","HRyweORC","tardy","chs","2024-08-26"
"19","Uhyt4Xyp","tardy","chs","2024-08-26"
"20","5Dv0kCAf","tardy","chs","2024-08-26"
"21","9dQcKxSt","tardy","ajh","2024-08-26"
"22","PyEg7GNf","unknown","chs","2024-08-26"
"23","dcyOoPnG","family","ajh","2024-08-26"
"24","FD3lNOtT","tardy","ajh","2024-08-26"
"25","jGZVVjTc","unknown","chs","2024-08-26"
"26","t1bkMrKO","religious","ajh","2024-08-26"
"27","PGAP9oSa","medical","bjh","2024-08-26"
"28","IuIHQDIZ","tardy","chs","2024-08-26"
"29","kwiV6AMn","tardy","chs","2024-08-26"
"30","DDRP05EF","medical","ajh","2024-08-26"
"31","enAVfaNF","tardy","chs","2024-08-26"
"32","zUjUS5mq","medical","bjh","2024-08-26"
"33","JB02Tgpt","tardy","bjh","2024-08-26"
"34","BTaXwHtN","tardy","chs","2024-08-26"
"35","1V0zDafO","unknown","chs","2024-08-26"
"36","8PSuRE6a","unknown","chs","2024-08-26"
"37","S0WWpavz","tardy","dhs","2024-08-26"
"38","n20NpdaU","tardy","chs","2024-08-26"
"39","DcvMnD3o","unknown","ajh","2024-08-26"
"40","BMuNUb4p","suspension","ajh","2024-08-26"
"41","Sa9IXXDS","unknown","chs","2024-08-26"
"42","b0ZWDFHi","tardy","chs","2024-08-26"
"43","7L0cIMDO","unknown","bjh","2024-08-26"
"44","5modzGNr","unknown","chs","2024-08-26"
"45","x8JtwrxA","family","ajh","2024-08-26"
"46","gFb31deV","family","ajh","2024-08-26"
"47","B4gmm6qv","tardy","bjh","2024-08-26"
"48","aIcSHJi6","tardy","bjh","2024-08-26"
"49","Tpsr5m04","family","chs","2024-08-26"
"50","VrvCrDiX","personal","chs","2024-08-26"
"51","BSAc38VO","medical","dhs","2024-08-26"
"52","OoMb80oN","unknown","chs","2024-08-26"
