"incident_id","student_id","date_of_event","date_of_action","incident_type","action_taken","school_id","description"
"0","BMuNUb4p","2024-08-22","2024-08-23","academic dishonesty","suspension","ajh","Student was caught using a smartwatch to access answers during a history exam. Despite being remorseful, student initially denied any wrongdoing. This incident is particularly concerning due to the elaborate planning involved."
"1","dOpE1ADr","2024-08-23","2024-08-23","academic dishonesty","suspension","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping foot rapidly during confrontation."
"2","C1H6QRZU","2024-08-22","2024-08-23","altercation","suspension","chs","Altercation in cafeteria during lunch, student displayed aggressive behavior, involved food throwing. Staff intervention needed to de-escalate. Discipline deemed necessary to address behavior."
"3","3A5FnVxO","2024-08-26","2024-08-26","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, insisting work was original. Tried to defend by claiming ""everyone does it."" Refused to admit fault even when presented with evidence."
"4","xARclOYM","2024-08-26","2024-08-26","altercation","warning","dhs","Description: Student engaged in a verbal altercation during lunch break, displaying aggressive behavior and using profane language. Incident involved food being thrown across the cafeteria causing disruption. Student's refusal to calm down prompted intervention by staff."
"5","zu6jXBkR","2024-08-26","2024-08-26","altercation","warning","bjh","Description: Student engaged in a verbal altercation in the cafeteria during lunchtime. Student displayed aggressive demeanor and raised voice, causing disruption. School staff intervened promptly."
"6","GmMJ4qCA","2024-08-26","2024-08-26","dress code","warning","chs","Student was wearing a baseball cap in the hallway, ignoring multiple warnings. Their hoodie also had inappropriate language. Despite being told to remove them, student's demeanor was defiant. Both items were confiscated for a dress code violation."
"7","LIj8MbRX","2024-08-26","2024-08-26","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and avoided eye contact. This is a serious violation of academic integrity policies that must be addressed during a parent conference."
"8","yyLghXAH","2024-08-26","2024-08-26","academic dishonesty","parent conference","chs","Student caught plagiarizing material from an unknown source during English class. Student showed defiance, claiming innocence despite clear evidence. Parent conference scheduled to address dishonesty and attitude towards academic integrity."
"9","xfNZHpTL","2024-08-26","2024-08-26","altercation","ISS","chs","Altercation occurred during lunch hour in cafeteria. Student was loud and aggressive, threw food at another student. Refused to calm down despite staff intervention. ISS assigned."
"10","Bv7Z1LTU","2024-08-26","2024-08-26","theft","warning","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. Student's demeanor was nervous, and the theft was deemed as premeditated based on surveillance footage."
"11","fhU7wnqy","2024-08-26","2024-08-26","theft","suspension","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. They were observed acting nervously and fidgeting with their pockets before being confronted. The severity of the theft and their demeanor warranted suspension."
"12","PJpoIX1S","2024-08-26","2024-08-26","academic dishonesty","suspension","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely and tapping their foot rapidly when confronted."
"13","4j2blr4M","2024-08-27","2024-08-27","academic dishonesty","suspension","ajh","Student was caught using a smartwatch to access answers during a history exam. Despite being remorseful, student initially denied any wrongdoing. Discovery of hidden cheat sheets in a pencil case further confirmed dishonesty."
"14","Mz13er0L","2024-08-27","2024-08-27","disruption","detention","ajh","Student repeatedly shouted inappropriate comments during a quiet study period in the library, causing disruption among peers. Refused to follow staff instructions, displaying defiant behavior. Displayed lack of respect for rules and disrupted the learning environment."
"15","fVzeUE6N","2024-08-27","2024-08-27","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and avoided eye contact. This behavior was a sharp contrast to their usual demeanor in class. A parent conference is necessary to address this serious breach of academic integrity."
"16","AvWU1TA9","2024-08-27","2024-08-27","dress code","warning","ajh","Student was wearing a bright pink cowboy hat during class, violating the dress code policy. Despite being reminded, student kept the hat on and seemed defiant. Warning issued for non-compliance with school's dress code."
"17","V3syxjxP","2024-08-27","2024-08-27","theft","ISS","chs","Student was caught stealing multiple items from a teacher's desk during lunch break. Student showed no remorse and was caught on camera hiding the items in their bag before leaving the classroom."
"18","najyDWbo","2024-08-27","2024-08-27","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Tried to pass off outdated facts as their own research. Showed no remorse or understanding of the severity of their actions."
