"survey_id","student_id","school_id","source","question_code","question","answer"
"0","miNBvE6g","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","Looking forward to exploring more advanced math concepts and deepening my understanding of physics."
"1","miNBvE6g","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","My goal is to maintain my GPA and continue being a reliable resource for classmates in need."
"2","miNBvE6g","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing family health issues with academic responsibilities may be a challenge."
"3","miNBvE6g","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Providing additional tutoring resources and flexibility with deadlines could greatly support me in achieving my goals."
"4","Pdlc6cXY","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","I'm excited to continue exploring my creativity through art and crafting projects."
"5","Pdlc6cXY","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","My goal is to improve my time management skills to balance schoolwork and personal interests better."
"6","Pdlc6cXY","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing schoolwork with my responsibilities at home can be challenging, especially during busy times."
"7","Pdlc6cXY","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Providing resources for time management and offering support for students balancing school and home responsibilities would be helpful."
"8","rLOceRuu","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","I'm looking forward to growing as a player and leader on the soccer team."
"9","rLOceRuu","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","My goal is to maintain my high GPA and continue excelling academically."
"10","rLOceRuu","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing schoolwork with responsibilities at home may be challenging for me."
"11","rLOceRuu","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Providing tutoring support and resources for students facing difficulties outside of school."
"12","Hb0KwEmI","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","Improving my GPA through hard work and dedication."
"13","Hb0KwEmI","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","Raise my GPA to show my potential despite challenges."
"14","Hb0KwEmI","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing schoolwork with family responsibilities."
"15","Hb0KwEmI","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Offer tutoring, flexible deadlines, and understanding for personal struggles."
"16","G60I1P6k","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","I'm excited to deepen my friendships and explore new subjects in classes."
"17","G60I1P6k","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","I hope to improve my grades and get involved in extracurricular activities."
"18","G60I1P6k","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing schoolwork with family responsibilities will be tough."
"19","G60I1P6k","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Providing after-school tutoring and family support resources would be greatly beneficial."
"20","9IyjYhaM","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","I'm excited to explore more classic movies and analyze their themes in English class."
"21","9IyjYhaM","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","I hope to improve my writing skills and get a role in the school play."
"22","9IyjYhaM","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing schoolwork with responsibilities at home will be challenging for me."
"23","9IyjYhaM","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Providing after-school tutoring and flexible deadlines would help me succeed academically and artistically."
"24","q9O6VmaT","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","I'm looking forward to improving my grades and making my voice heard in class discussions."
"25","q9O6VmaT","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","My goal is to participate more in extracurricular activities and develop new skills."
"26","q9O6VmaT","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Navigating the cultural divide between students and staff may be challenging for me."
"27","q9O6VmaT","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","The school can provide more resources for students from disadvantaged backgrounds and promote understanding between all groups."
"28","k4zJicBk","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","Cooking and sharing homemade treats with friends to bring smiles."
"29","k4zJicBk","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","To maintain GPA and keep improving despite challenges."
"30","k4zJicBk","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing school with responsibilities at home may be tough."
"31","k4zJicBk","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Offer more flexible schedules or resources for students with family obligations."
"32","4hGsnaiQ","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","Making new connections and learning from different perspectives."
"33","4hGsnaiQ","ajh","fresh_semester_survey","0-2","What is one hope or goal you have for this semester?","To maintain my GPA and help others succeed academically."
"34","4hGsnaiQ","ajh","fresh_semester_survey","0-3","What do you think will be challenging for you this semester?","Balancing schoolwork with home responsibilities and limited resources."
"35","4hGsnaiQ","ajh","fresh_semester_survey","0-4","What can the school do to help you achieve your hopes and goals?","Provide more accessible resources and support for students in need."
"36","m2I9BNfH","ajh","fresh_semester_survey","0-1","What are you most looking forward to this semester?","Exploring more in science class"
