"student_id","first_name","last_name","dob","gender","grade_year","zip_code","current_school"
"heSLV36I","","","2007-09-21","male","11","23456","chs"
"OUeZNY6q","","","2007-01-18","female","12","23456","chs"
"nIGn7Jgh","","","2008-05-06","perefer not to say","11","45678","dhs"
"Nh1iBWas","","","2007-09-05","male","11","23456","chs"
"KRpBGRXg","","","2012-05-18","male","7","23456","ajh"
"BirMfBlX","","","2011-11-21","female","7","12345","ajh"
"gVgdoCC3","","","2006-11-23","female","12","12345","chs"
"n7k0mzXP","","","2008-01-18","female","11","23456","chs"
"oeGv3LrC","","","2006-12-31","male","12","12345","chs"
"hZBmxI2Y","","","2010-10-13","male","8","45678","bjh"
"yAAgi3s4","","","2009-12-28","female","9","45678","dhs"
"43mXNAVa","","","2009-11-22","male","9","23456","chs"
"YalMypXy","","","2011-06-04","male","8","23456","ajh"
"Vcl2T792","","","2010-09-27","female","8","12345","ajh"
"GKw5bKSw","","","2008-09-26","male","10","34567","chs"
"2hJcWQp1","","","2010-05-29","female","9","56789","dhs"
"px6Ifd0w","","","2011-01-07","female","8","12345","ajh"
"8Ag4Duki","","","2008-02-01","male","11","12345","chs"
"F9Vn6trN","","","2012-06-11","female","7","23456","ajh"
"anDkYGH6","","","2008-08-17","male","11","12345","chs"
"vqGZBa63","","","2009-07-25","nonbinary","10","12345","chs"
"kFxioIYe","","","2012-01-22","male","7","45678","bjh"
"wWQWAjFE","","","2011-07-26","male","8","45678","bjh"
"e3fj10zT","","","2010-10-22","female","8","12345","ajh"
"IS8BLbzb","","","2008-06-05","female","11","45678","dhs"
"eyTeOpNp","","","2008-02-24","female","11","12345","chs"
"wTiq1Jyr","","","2007-08-17","male","12","23456","chs"
"vvPUxUDj","","","2012-05-16","male","7","45678","bjh"
"OblJ66TQ","","","2012-06-09","male","7","12345","ajh"
"An91fYHm","","","2011-10-27","male","7","23456","ajh"
"t6bxOMQM","","","2012-05-17","female","7","12345","ajh"
"JXv98Zo4","","","2009-08-31","male","10","12345","chs"
"N16kORex","","","2009-04-12","female","10","23456","chs"
"pVooxdNZ","","","2010-05-27","female","9","34567","chs"
"dh0V9LR3","","","2007-10-14","male","11","23456","chs"
"iFTXPNDJ","","","2012-08-23","female","7","23456","ajh"
"vRbjEdcb","","","2009-07-01","male","10","23456","chs"
