"Description","Specialties","Industries","Ownership"
"Intrafocus, Ltd. is a business-performance management consultancy and software reseller. It has a strategy, performance management, and balanced scorecard software specialist and provides business and balanced scorecard software and training throughout the nation.","Balanced Scorecard Software, Balanced Scorecard Training, Strategy Management, Strategic Consulting, Business Consulting, KPI Management, Management Consulting, KPI Software, Balanced Scorecard, Key Performance Indicators","Management Consulting","Private"
"ActiveStrategy, Inc. provides Web-based software systems for strategy and performance management, performance measurement, and performance excellence. It offers ActiveStrategy Enterprise (ASE), a solution that supports time-tested management and improvement methodologies, such as Balanced Scorecards, Leading/Lagging Indicators, Lean Six Sigma, and Baldrige.","enterprisesoftware, enterprisesoftware&networksolutions, patient satisfaction, automated rounding, balanced scorecard software, performance management software, performance measurement software, scorecard consulting, strategic dashboards and strategy execution, enterprise software, network solutions","Computer Software, Information Technology & Services","Venture Capital"
"Manigent, Ltd. is a strategy and risk management consulting firm that delivers solutions to financial services and other regulated industries within the UK and Europe. It provides solutions for Risk-Based Performance Management, Enterprise Performance Management, Balanced Scorecard, Enterprise Risk Management, Operational Risk Management, and Compliance.","Risk-Based Performance Management, Enterprise Performance Management, Balanced Scorecard, Enterprise Risk Management, Operational Risk","Management Consulting","Private"
"AKS-Labs is a software development and consulting company. It focuses on business intelligence, dashboards, and balanced scorecard solutions. Its services are offered to top managers and CEOs to improve business performance and productivity.","Balanced Scorecard, KPI (Key Performance Indicators), File search, comparison tools","Computer Software","Private"
"Beckon, Inc. provides omnichannel analytics software for marketers. Its software as a service platform integrates marketing data and delivers dashboards and scorecards for cross-channel marketing intelligence. The company offers marketing analytics software, marketing performance management, omnichannel marketing analytics,  self-serve analytics and reporting, marketing intelligence, campaign optimization, dashboards, and scorecards.","self-serve analytics and reporting, marketing intelligence, marketing performance management, omnichannel marketing analytics, campaign optimization, dashboards, scorecards, advertising, marketing, enterprise software, network solutions","Internet, Information Technology & Services, Information Services","Private Sub"
"GhostwriterAI is an IT Services and IT Consulting company. It focuses on analytics, business intelligence, strategy, creativity, insights, scorecards, performance management, dashboards, big data, and metrics.","Analytics, Business Intelligence, Strategy, Creative, Insights, Scorecards, Performance Management, Dashboards, BigData, Metrics, Office","Internet","Private"
"Darwin Enterprise Performance Management (EPM) is an EPM software solution that delivers agile enterprise performance management to organizations utilizing popular EPM technical platforms. The company offers Darwin EPM Suite, Darwin Calculation Engine (DarCE) and Darwin EPM Modules.","darwin epm suite, darwin calculation engine (darce) and darwin epm modules","Information Technology & Services","Private"
"Ape Software Components, SL (ApeSoft) is a business-performance management software development company that offers enterprise gamification, information analysis, dashboarding, budgeting, and strategic planning. It provides solutions to organizations and departments of all sizes helping to accelerate the improvement of results, deploy analytical capabilities at all levels, optimize decision-making processes, improve the ability to adapt to changes within a competitive environment, and increase business performance.","Business Intelligence, Reporting, Dashboards, Excel Automation, Enterprise Planning, Budget Planning, Balanced Scorecard, Enterprise Gamification, Business Gamification","Computer Software","Venture Capital"
"Spider Strategies, Inc. provides Web-based metric tracking software that powers balanced scorecards and performance dashboards. It offers balanced scorecard software to automate balanced scorecards; and Dashboards that allow seeing the performance, comparing various regions, seeing historical trends, and keeping an eye out for poorly performing areas.","Balanced Balanced Scorecard, KPIs, Strategy Management, Strategy Execution, Corporate Performance Management, Business Performance Management, Organizational Performance Management, Earned Value Management, strategic planning, management reports, team alignment, strategic alignment, operational business intelligence, dashboard, strategic initiatives, data governance, paperless meetings, executive meetings, decision support, data-based decisions
Balanced Scorecard, data-based decisions","Computer Software","Private"
"EPM Global Pte., Ltd. is a professional services company managed by experienced professionals and assisted by a team of qualified and certified resources. The company is in the business of providing Technology Consulting services and Implementation of Enterprise application software.","Enterprise Resource Planning, Business Intelligence, Performance Management","Computer Software, Information Technology & Services, Internet, Information Services","Private"
